2019-11-16 14:49:33,779 |kJoinPool-1-worker-2 |UtilXml                       |E| XmlFileLoader: File /home/sudhir/Documents/Ofbiz-pro-upload/patanjali-nepal/applications/party/servicedef/services.xml process error. Line: 469. Error message: cvc-datatype-valid.1.2.1: 'ture' is not a valid value for 'boolean'.
2019-11-16 14:49:33,779 |kJoinPool-1-worker-2 |UtilXml                       |E| XmlFileLoader: File /home/sudhir/Documents/Ofbiz-pro-upload/patanjali-nepal/applications/party/servicedef/services.xml process error. Line: 469. Error message: cvc-attribute.3: The value 'ture' of attribute 'optional' on element 'override' is not valid with respect to its type, 'boolean'.
2019-11-16 14:50:18,905 |jsse-nio-8443-exec-5 |CategoryServices              |E| null
2019-11-16 14:51:06,170 |jsse-nio-8443-exec-6 |CategoryServices              |E| null
2019-11-16 14:54:54,151 |jsse-nio-8443-exec-6 |CategoryServices              |E| null
2019-11-16 14:54:57,215 |jsse-nio-8443-exec-7 |CategoryServices              |E| null
2019-11-16 15:00:28,497 |kJoinPool-1-worker-1 |UtilXml                       |E| XmlFileLoader: File /home/sudhir/Documents/Ofbiz-pro-upload/patanjali-nepal/applications/party/servicedef/services.xml process error. Line: 469. Error message: cvc-datatype-valid.1.2.1: 'ture' is not a valid value for 'boolean'.
2019-11-16 15:00:28,497 |kJoinPool-1-worker-1 |UtilXml                       |E| XmlFileLoader: File /home/sudhir/Documents/Ofbiz-pro-upload/patanjali-nepal/applications/party/servicedef/services.xml process error. Line: 469. Error message: cvc-attribute.3: The value 'ture' of attribute 'optional' on element 'override' is not valid with respect to its type, 'boolean'.
2019-11-16 15:00:47,067 |jsse-nio-8443-exec-4 |CategoryServices              |E| null
2019-11-16 15:02:30,798 |kJoinPool-1-worker-3 |UtilXml                       |E| XmlFileLoader: File /home/sudhir/Documents/Ofbiz-pro-upload/patanjali-nepal/applications/party/servicedef/services.xml process error. Line: 469. Error message: cvc-datatype-valid.1.2.1: 'ture' is not a valid value for 'boolean'.
2019-11-16 15:02:30,798 |kJoinPool-1-worker-3 |UtilXml                       |E| XmlFileLoader: File /home/sudhir/Documents/Ofbiz-pro-upload/patanjali-nepal/applications/party/servicedef/services.xml process error. Line: 469. Error message: cvc-attribute.3: The value 'ture' of attribute 'optional' on element 'override' is not valid with respect to its type, 'boolean'.
2019-11-16 15:02:37,758 |jsse-nio-8443-exec-4 |CategoryServices              |E| null
2019-11-16 15:03:00,866 |jsse-nio-8443-exec-2 |CategoryServices              |E| null
2019-11-16 15:03:03,616 |jsse-nio-8443-exec-4 |CategoryServices              |E| null
2019-11-16 15:31:00,917 |kJoinPool-1-worker-1 |UtilXml                       |E| XmlFileLoader: File /home/sudhir/Documents/PBRI-Ofbiz-pro-upload/applications/party/servicedef/services.xml process error. Line: 469. Error message: cvc-datatype-valid.1.2.1: 'ture' is not a valid value for 'boolean'.
2019-11-16 15:31:00,917 |kJoinPool-1-worker-1 |UtilXml                       |E| XmlFileLoader: File /home/sudhir/Documents/PBRI-Ofbiz-pro-upload/applications/party/servicedef/services.xml process error. Line: 469. Error message: cvc-attribute.3: The value 'ture' of attribute 'optional' on element 'override' is not valid with respect to its type, 'boolean'.
2019-11-16 15:31:20,328 |jsse-nio-8443-exec-4 |CategoryServices              |E| null
2019-11-16 16:24:05,327 |kJoinPool-1-worker-2 |UtilXml                       |E| XmlFileLoader: File /home/sudhir/Documents/PBRI-Ofbiz-pro-upload/applications/party/servicedef/services.xml process error. Line: 469. Error message: cvc-datatype-valid.1.2.1: 'ture' is not a valid value for 'boolean'.
