2019-08-23 11:57:41,585 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [4] milliseconds
2019-08-23 11:57:41,586 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:41,589 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:41,590 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:41,594 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:41,595 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:41,597 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:41,598 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:41,601 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:41,601 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:41,604 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:41,605 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:41,607 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:41,608 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:41,610 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:41,611 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:41,614 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:41,614 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:41,617 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:41,618 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:41,620 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:41,621 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:41,623 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:41,624 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:41,627 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:41,628 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:41,630 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:41,631 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:41,634 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:41,635 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:41,638 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:41,639 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:41,642 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:41,643 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:41,647 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [4] milliseconds
2019-08-23 11:57:41,648 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:41,652 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [4] milliseconds
2019-08-23 11:57:41,653 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:41,656 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:41,658 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:41,661 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:41,662 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:41,665 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:41,667 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:41,670 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:41,671 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:41,674 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:41,675 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:41,677 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
