2019-08-26 10:37:21,438 |jsse-nio-8443-exec-7 |ServiceDispatcher             |T| Sync service [catalog/getProductCategoryAndLimitedMembers] finished in [6] milliseconds
2019-08-26 10:37:21,527 |jsse-nio-8443-exec-7 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2019-08-26 10:37:21,528 |jsse-nio-8443-exec-7 |GroovyBaseScript              |I| Checking for alternate permission ACCOUNTING_ROLE_VIEW
2019-08-26 10:37:21,528 |jsse-nio-8443-exec-7 |ServiceDispatcher             |T| Sync service [catalog/genericBasePermissionCheck] finished in [1] milliseconds
2019-08-26 10:37:21,529 |jsse-nio-8443-exec-7 |ServiceDispatcher             |T| Sync service [catalog/acctgAgreementPermissionCheck] finished in [4] milliseconds
2019-08-26 10:37:21,549 |jsse-nio-8443-exec-7 |ServiceDispatcher             |T| Sync service [catalog/executeFind] finished in [6] milliseconds
2019-08-26 10:37:21,551 |jsse-nio-8443-exec-7 |ServiceDispatcher             |T| Sync service [catalog/performFindList] finished in [8] milliseconds
2019-08-26 10:37:21,587 |jsse-nio-8443-exec-7 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2019-08-26 10:37:21,613 |jsse-nio-8443-exec-7 |ControlServlet                |T| [[[FindProduct(Domain:https://localhost)] Request Done- total:0.255,since last([FindProduct(Doma...):0.255]]
2019-08-26 10:37:21,888 |jsse-nio-8443-exec-6 |ControlServlet                |T| [[[LookupProduct(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2019-08-26 10:37:21,892 |jsse-nio-8443-exec-6 |RequestHandler                |I| Rendering View [LookupProduct].  Hidden sessionId by default.
2019-08-26 10:37:21,894 |jsse-nio-8443-exec-6 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2019-08-26 10:37:21,896 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [catalog/catalogPermissionCheck] finished in [1] milliseconds
2019-08-26 10:37:21,905 |jsse-nio-8443-exec-6 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2019-08-26 10:37:21,913 |jsse-nio-8443-exec-6 |ControlServlet                |T| [[[LookupProduct(Domain:https://localhost)] Request Done- total:0.025,since last([LookupProduct(Do...):0.025]]
2019-08-26 10:37:28,963 |jsse-nio-8443-exec-1 |ControlEventListener          |I| Creating session:  hidden sessionId by default.
2019-08-26 10:37:28,963 |jsse-nio-8443-exec-1 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2019-08-26 10:37:28,964 |jsse-nio-8443-exec-1 |VisitHandler                  |I| Found visitorId [10000] in cookie
2019-08-26 10:37:28,968 |jsse-nio-8443-exec-1 |TransactionUtil               |W| No transaction in place, so not suspending.
2019-08-26 10:37:29,016 |jsse-nio-8443-exec-1 |SequenceUtil                  |I| Got bank of sequenced IDs for [Visit]; curSeqId=10300, maxSeqId=10400, bankSize=100
2019-08-26 10:37:29,072 |jsse-nio-8443-exec-1 |ConfigXMLReader               |I| controller loaded: 0.004s, 379 requests, 154 views in file:/home/sudhir/Documents/patanjali-nepal/applications/content/webapp/content/WEB-INF/controller.xml
2019-08-26 10:37:29,080 |jsse-nio-8443-exec-1 |ConfigXMLReader               |I| controller loaded: 0.0s, 51 requests, 23 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/common-controller.xml
2019-08-26 10:37:29,089 |jsse-nio-8443-exec-1 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/handlers-controller.xml
2019-08-26 10:37:29,096 |jsse-nio-8443-exec-1 |ConfigXMLReader               |I| controller loaded: 0.0s, 4 requests, 0 views in file:/home/sudhir/Documents/patanjali-nepal/applications/commonext/webapp/WEB-INF/controller.xml
2019-08-26 10:37:29,097 |jsse-nio-8443-exec-1 |RequestHandler                |I| This is the first request in this visit. Hidden sessionId by default.
2019-08-26 10:37:29,099 |jsse-nio-8443-exec-1 |ServiceDispatcher             |T| Sync service [content/getUserPreference] finished in [1] milliseconds
2019-08-26 10:37:29,101 |jsse-nio-8443-exec-1 |ServiceDispatcher             |T| Sync service [content/getUserPreference] finished in [1] milliseconds
2019-08-26 10:37:29,273 |jsse-nio-8443-exec-1 |RequestHandler                |I| Rendering View [FindWebSite].  Hidden sessionId by default.
2019-08-26 10:37:29,277 |jsse-nio-8443-exec-1 |ServiceDispatcher             |T| Sync service [content/getUserPreferenceGroup] finished in [4] milliseconds
2019-08-26 10:37:29,302 |jsse-nio-8443-exec-1 |ScreenFactory                 |I| Got 15 screens in 0.023s from: file:/home/sudhir/Documents/patanjali-nepal/applications/content/widget/WebSiteScreens.xml
2019-08-26 10:37:29,308 |jsse-nio-8443-exec-1 |ScreenFactory                 |I| Got 15 screens in 0.006s from: file:/home/sudhir/Documents/patanjali-nepal/applications/content/widget/CommonScreens.xml
2019-08-26 10:37:29,387 |jsse-nio-8443-exec-1 |UtilProperties                |I| ResourceBundle ContentUiLabels (en_US) created in 0.079s with 567 properties
2019-08-26 10:37:29,391 |jsse-nio-8443-exec-1 |ScreenFactory                 |I| Got 1 screens in 0.004s from: file:/home/sudhir/Documents/patanjali-nepal/applications/commonext/widget/CommonScreens.xml
2019-08-26 10:37:29,421 |jsse-nio-8443-exec-1 |ServiceDispatcher             |T| Sync service [content/getLastSystemInfoNote] finished in [9] milliseconds
2019-08-26 10:37:29,430 |jsse-nio-8443-exec-1 |ScreenFactory                 |I| Got 28 screens in 0.004s from: file:/home/sudhir/Documents/patanjali-nepal/framework/common/widget/CommonScreens.xml
2019-08-26 10:37:29,473 |jsse-nio-8443-exec-1 |ScreenFactory                 |I| Got 27 screens in 0.005s from: file:/home/sudhir/Documents/patanjali-nepal/themes/common-theme/widget/CommonScreens.xml
2019-08-26 10:37:29,599 |jsse-nio-8443-exec-1 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2019-08-26 10:37:29,618 |jsse-nio-8443-exec-1 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Done- total:0.655,since last([main(Domain:http...):0.655]]
2019-08-26 10:59:02,595 |Catalina-utility-2   |ControlEventListener          |I| Destroying session:  hidden sessionId by default.
2019-08-26 11:15:32,751 |Catalina-utility-2   |ControlEventListener          |I| Destroying session:  hidden sessionId by default.
2019-08-26 11:32:27,284 |jsse-nio-8443-exec-3 |ControlServlet                |T| [[[ServiceList(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2019-08-26 11:32:27,293 |jsse-nio-8443-exec-3 |ConfigXMLReader               |I| controller loaded: 0.001s, 113 requests, 78 views in file:/home/sudhir/Documents/patanjali-nepal/framework/webtools/webapp/webtools/WEB-INF/controller.xml
2019-08-26 11:32:27,302 |jsse-nio-8443-exec-3 |ConfigXMLReader               |I| controller loaded: 0.0s, 51 requests, 23 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/common-controller.xml
2019-08-26 11:32:27,309 |jsse-nio-8443-exec-3 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/handlers-controller.xml
2019-08-26 11:32:27,317 |jsse-nio-8443-exec-3 |ConfigXMLReader               |I| controller loaded: 0.0s, 26 requests, 10 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/portal-controller.xml
2019-08-26 11:32:27,325 |jsse-nio-8443-exec-3 |ConfigXMLReader               |I| controller loaded: 0.0s, 30 requests, 13 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/security-controller.xml
2019-08-26 11:32:27,333 |jsse-nio-8443-exec-3 |ConfigXMLReader               |I| controller loaded: 0.0s, 5 requests, 0 views in file:/home/sudhir/Documents/patanjali-nepal/framework/common/webcommon/WEB-INF/tempexpr-controller.xml
2019-08-26 11:32:27,336 |jsse-nio-8443-exec-3 |RequestHandler                |I| Rendering View [ServiceList].  Hidden sessionId by default.
2019-08-26 11:32:27,342 |jsse-nio-8443-exec-3 |ScreenFactory                 |I| Got 12 screens in 0.004s from: file:/home/sudhir/Documents/patanjali-nepal/framework/webtools/widget/ServiceScreens.xml
2019-08-26 11:32:27,536 |jsse-nio-8443-exec-3 |ScreenFactory                 |I| Got 11 screens in 0.004s from: file:/home/sudhir/Documents/patanjali-nepal/framework/webtools/widget/CommonScreens.xml
2019-08-26 11:32:27,541 |jsse-nio-8443-exec-3 |ScreenFactory                 |I| Got 28 screens in 0.004s from: file:/home/sudhir/Documents/patanjali-nepal/framework/common/widget/CommonScreens.xml
2019-08-26 11:32:27,583 |jsse-nio-8443-exec-3 |ScreenFactory                 |I| Got 27 screens in 0.006s from: file:/home/sudhir/Documents/patanjali-nepal/themes/common-theme/widget/CommonScreens.xml
2019-08-26 11:32:27,618 |jsse-nio-8443-exec-3 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2019-08-26 11:32:27,629 |jsse-nio-8443-exec-3 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2019-08-26 11:32:27,716 |jsse-nio-8443-exec-3 |ServiceDispatcher             |T| Sync service [webtools/genericBasePermissionCheck] finished in [87] milliseconds
