2019-09-03 11:02:34,604 |main                 |SeoConfigUtil                 |I| Parsing url-config
2019-09-03 11:02:34,604 |main                 |SeoConfigUtil                 |I|   url-pattern: ^(.*);jsessionid=(.*)jvm[1-9](.*)$
2019-09-03 11:02:34,605 |main                 |SeoConfigUtil                 |I|     seo replacement: $1$3
2019-09-03 11:02:34,605 |main                 |SeoConfigUtil                 |I|     forward replacement: $1$3
2019-09-03 11:02:34,605 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2019-09-03 11:02:34,605 |main                 |SeoConfigUtil                 |I|   url-pattern: ^/ecomseo/main$
2019-09-03 11:02:34,607 |main                 |SeoConfigUtil                 |I|     seo replacement: /ecomseo/
2019-09-03 11:02:34,607 |main                 |SeoConfigUtil                 |I|     forward replacement: /ecomseo/
2019-09-03 11:02:34,607 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2019-09-03 11:02:34,607 |main                 |SeoConfigUtil                 |I|   url-pattern: ^/main$
2019-09-03 11:02:34,608 |main                 |SeoConfigUtil                 |I|     seo replacement: /
2019-09-03 11:02:34,608 |main                 |SeoConfigUtil                 |I|     forward replacement: /
2019-09-03 11:02:34,608 |main                 |SeoConfigUtil                 |I|     forward responsecode: 301
2019-09-03 11:02:34,608 |main                 |SeoConfigUtil                 |I| Parsing char-filter: 
2019-09-03 11:02:34,608 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00fc
2019-09-03 11:02:34,608 |main                 |SeoConfigUtil                 |I|   replacement: ue
2019-09-03 11:02:34,609 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00e4
2019-09-03 11:02:34,609 |main                 |SeoConfigUtil                 |I|   replacement: ae
2019-09-03 11:02:34,609 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00f6
2019-09-03 11:02:34,609 |main                 |SeoConfigUtil                 |I|   replacement: oe
2019-09-03 11:02:34,610 |main                 |SeoConfigUtil                 |I|   character-pattern: \u00df
2019-09-03 11:02:34,610 |main                 |SeoConfigUtil                 |I|   replacement: ss
2019-09-03 11:02:34,610 |main                 |SeoConfigUtil                 |I|   character-pattern: \\+
2019-09-03 11:02:34,610 |main                 |SeoConfigUtil                 |I|   replacement: und
2019-09-03 11:02:34,610 |main                 |SeoConfigUtil                 |I|   character-pattern: \u0026
2019-09-03 11:02:34,610 |main                 |SeoConfigUtil                 |I|   replacement: und
2019-09-03 11:02:34,610 |main                 |SeoConfigUtil                 |I|   character-pattern: è
2019-09-03 11:02:34,610 |main                 |SeoConfigUtil                 |I|   replacement: e
2019-09-03 11:02:34,610 |main                 |SeoConfigUtil                 |I|   character-pattern: [^A-Za-z0-9+-]
2019-09-03 11:02:34,614 |main                 |SeoConfigUtil                 |I|   replacement: -
2019-09-03 11:02:34,614 |main                 |SeoConfigUtil                 |I|   character-pattern: -{2,}
2019-09-03 11:02:34,614 |main                 |SeoConfigUtil                 |I|   replacement: -
2019-09-03 11:02:34,643 |main                 |ServiceDispatcher             |I| Registering dispatcher: manufacturing
2019-09-03 11:02:34,643 |main                 |ServiceContainer              |I| Created new dispatcher: manufacturing
2019-09-03 11:02:34,643 |main                 |ControlServlet                |I| Loading webapp [manufacturing], located at /home/sudhir/Documents/patanjali-nepal/applications/manufacturing/webapp/manufacturing/
2019-09-03 11:02:34,667 |main                 |ConfigXMLReader               |I| controller loaded: 0.002s, 149 requests, 65 views in file:/home/sudhir/Documents/patanjali-nepal/applications/manufacturing/webapp/manufacturing/WEB-INF/controller.xml
2019-09-03 11:02:34,736 |main                 |ServiceDispatcher             |I| Registering dispatcher: order
2019-09-03 11:02:34,736 |main                 |ServiceContainer              |I| Created new dispatcher: order
2019-09-03 11:02:34,737 |main                 |ControlServlet                |I| Loading webapp [ordermgr], located at /home/sudhir/Documents/patanjali-nepal/applications/order/webapp/ordermgr/
2019-09-03 11:02:34,776 |main                 |ConfigXMLReader               |I| controller loaded: 0.008s, 366 requests, 147 views in file:/home/sudhir/Documents/patanjali-nepal/applications/order/webapp/ordermgr/WEB-INF/controller.xml
2019-09-03 11:02:34,849 |main                 |ServiceDispatcher             |I| Registering dispatcher: Humanres
2019-09-03 11:02:34,850 |main                 |ServiceContainer              |I| Created new dispatcher: Humanres
2019-09-03 11:02:34,850 |main                 |ControlServlet                |I| Loading webapp [humanres], located at /home/sudhir/Documents/patanjali-nepal/applications/humanres/webapp/humanres/
2019-09-03 11:02:34,868 |main                 |ConfigXMLReader               |I| controller loaded: 0.003s, 230 requests, 96 views in file:/home/sudhir/Documents/patanjali-nepal/applications/humanres/webapp/humanres/WEB-INF/controller.xml
2019-09-03 11:02:34,905 |main                 |ServiceDispatcher             |I| Registering dispatcher: ap
2019-09-03 11:02:34,905 |main                 |ServiceContainer              |I| Created new dispatcher: ap
2019-09-03 11:02:34,906 |main                 |ControlServlet                |I| Loading webapp [ap], located at /home/sudhir/Documents/patanjali-nepal/applications/accounting/webapp/ap/
2019-09-03 11:02:34,915 |main                 |ConfigXMLReader               |I| controller loaded: 0.001s, 22 requests, 14 views in file:/home/sudhir/Documents/patanjali-nepal/applications/accounting/webapp/ap/WEB-INF/controller.xml
2019-09-03 11:02:34,926 |main                 |ServiceDispatcher             |I| Registering dispatcher: marketing
2019-09-03 11:02:34,927 |main                 |ServiceContainer              |I| Created new dispatcher: marketing
2019-09-03 11:02:34,927 |main                 |ControlServlet                |I| Loading webapp [marketing], located at /home/sudhir/Documents/patanjali-nepal/applications/marketing/webapp/marketing/
2019-09-03 11:02:34,937 |main                 |ConfigXMLReader               |I| controller loaded: 0.001s, 91 requests, 48 views in file:/home/sudhir/Documents/patanjali-nepal/applications/marketing/webapp/marketing/WEB-INF/controller.xml
2019-09-03 11:02:34,949 |main                 |ServiceDispatcher             |I| Registering dispatcher: ar
2019-09-03 11:02:34,949 |main                 |ServiceContainer              |I| Created new dispatcher: ar
2019-09-03 11:02:34,950 |main                 |ControlServlet                |I| Loading webapp [ar], located at /home/sudhir/Documents/patanjali-nepal/applications/accounting/webapp/ar/
2019-09-03 11:02:34,964 |main                 |ConfigXMLReader               |I| controller loaded: 0.0s, 16 requests, 10 views in file:/home/sudhir/Documents/patanjali-nepal/applications/accounting/webapp/ar/WEB-INF/controller.xml
2019-09-03 11:02:34,987 |main                 |ServiceDispatcher             |I| Registering dispatcher: ical
2019-09-03 11:02:34,987 |main                 |ServiceContainer              |I| Created new dispatcher: ical
2019-09-03 11:02:35,003 |main                 |ServiceDispatcher             |I| Registering dispatcher: sfa
2019-09-03 11:02:35,003 |main                 |ServiceContainer              |I| Created new dispatcher: sfa
2019-09-03 11:02:35,003 |main                 |ControlServlet                |I| Loading webapp [sfa], located at /home/sudhir/Documents/patanjali-nepal/applications/marketing/webapp/sfa/
2019-09-03 11:02:35,013 |main                 |ConfigXMLReader               |I| controller loaded: 0.001s, 55 requests, 36 views in file:/home/sudhir/Documents/patanjali-nepal/applications/marketing/webapp/sfa/WEB-INF/controller.xml
2019-09-03 11:02:35,045 |main                 |ServiceDispatcher             |I| Registering dispatcher: accounts
2019-09-03 11:02:35,045 |main                 |ServiceContainer              |I| Created new dispatcher: accounts
